iter	Passed	Remaining
150	94731	218949
151	95274	218128
152	95828	217337
153	96382	216546
154	96964	215823
155	97568	215150
156	98146	214422
157	98849	213965
158	99530	213459
159	100136	212789
160	100806	212257
161	101420	211605
162	102075	211040
163	102708	210427
164	103277	209684
165	103830	208912
166	104509	208394
167	105147	207791
168	105752	207123
169	106364	206471
170	107047	205956
171	107724	205427
172	108374	204846
173	109022	204260
174	109670	203674
175	110265	202988
176	110872	202325
177	111517	201733
178	112170	201154
179	112798	200531
180	113402	199864
181	114117	199392
182	114771	198811
183	115407	198199
184	115986	197490
185	116667	196954
186	117285	196311
187	117942	195734
188	118560	195091
189	119161	194421
190	119798	193810
191	120426	193184
192	121042	192539
193	121616	191828
194	122279	191257
195	122954	190705
196	123742	190324
197	124435	189795
198	125155	189304
199	125783	188675
200	126451	188104
201	127067	187456
202	127647	186754
203	128220	186044
204	128822	185378
205	129440	184734
206	130115	184173
207	130708	183494
208	131234	182723
209	131789	181994
210	132311	181223
211	132845	180468
212	133359	179691
213	133854	178890
214	134468	178249
215	135109	177643
216	135763	177055
217	136404	176449
218	137018	175809
219	137558	175073
220	138117	174365
221	138670	173650
222	139297	173028
223	139881	172353
224	140538	171769
225	141147	171126
226	141767	170495
227	142440	169929
228	143247	169520
229	143922	168952
230	144503	168274
231	145124	167643
232	145704	166966
233	146307	166315
234	146953	165713
235	147559	165066
236	148162	164416
237	148834	163842
238	149555	163322
239	150190	162706
240	150768	162029
241	151394	161404
242	152085	160847
243	152732	160243
244	153399	159660
245	153989	158997
246	154619	158375
247	155144	157646
248	155656	156907
249	156236	156236
250	156900	155650
251	157432	154933
252	158028	154280
253	158560	153566
254	159153	152912
255	159842	152349
256	160410	151671
257	161144	151150
258	161758	150516
259	162277	149794
260	162831	149105
261	163392	148424
262	163962	147753
263	164554	147101
264	165187	146487
265	165770	145828
266	166355	145171
267	166858	144444
268	167422	143772
269	168058	143160
270	168629	142495
271	169301	141914
272	169920	141289
273	170510	140640
274	171048	139949
275	171554	139232
276	172134	138577
277	172697	137909
278	173302	137275
279	173884	136623
280	174529	136021
281	175177	135421
282	175811	134809
283	176432	134187
284	177083	133589
285	177696	132961
286	178279	132312
287	178923	131707
288	179595	131123
289	180240	130519
290	180915	129935
291	181587	129349
292	182259	128763
293	182921	128169
294	183627	127605
295	184222	126963
296	184844	126341
297	185501	125742
298	186091	125098
299	186760	124506
300	187419	123908
301	188091	123318
302	188963	122857
303	189693	122302
304	190393	121726
305	190974	121075
306	191574	120436
307	192159	119787
308	192872	119218
309	193521	118609
310	194238	118042
311	194886	117431
312	195491	116795
313	196067	116141
314	196639	115486
315	197309	114889
316	197940	114268
317	198615	113673
318	199278	113070
319	199951	112472
320	200631	111878
321	201338	111299
322	202106	110752
323	202977	110259
324	203754	109714
325	204467	109132
326	205225	108574
327	205857	107949
328	206465	107311
329	207128	106702
330	207741	106067
331	208408	105459
332	209080	104854
333	209797	104270
334	210425	103642
335	210964	102970
336	211529	102312
337	212082	101648
338	212658	100997
339	213326	100389
340	213971	99769
341	214562	99125
342	215154	98481
343	215814	97869
344	216502	97269
345	217192	96669
346	217772	96020
347	218346	95369
348	218974	94742
349	219565	94099
350	220163	93459
351	220747	92814
352	221414	92203
353	222031	91572
354	222668	90949
355	223386	90358
356	224052	89746
357	224684	89120
358	225252	88469
359	225850	87830
360	226447	87191
361	226964	86522
362	227513	85865
363	228102	85225
364	228661	84573
365	229190	83911
366	229841	83294
367	230398	82643
368	230938	81986
369	231461	81324
370	231975	80660
371	232517	80006
372	233047	79348
373	233615	78704
374	234248	78082
375	234846	77449
376	235500	76834
377	236155	76219
378	236806	75603
379	237446	74982
380	238088	74363
381	238701	73734
382	239242	73084
383	239819	72445
384	240430	71816
385	241067	71195
386	241719	70579
387	242345	69955
388	242917	69315
389	243443	68663
390	244012	68024
391	244601	67390
392	245240	66770
393	245815	66133
394	246439	65509
395	247084	64890
396	247685	64260
397	248291	63632
